Job_title,Company_name,Job_type,Job_Location,Listing_Time,job_link
Data Analyst ( Experience in Production Department),Selah ElTelmeez For Publishing & printing ,Full Time,"Obour City, Cairo, Egypt",5 days ago,Data Analyst ( Experience in Production Department)
Financial Analyst,STM ,Full Time,"New Cairo, Cairo, Egypt",2 hours ago,Financial Analyst
Bookkeeping Analyst I,Assist Group Limited  ,Full Time,"Faisal, Giza, Egypt",3 days ago,Bookkeeping Analyst I
Parts Ordering & Expediting Analyst,Mantrac ,Full Time,"Alexandria, Egypt",19 minutes ago,Parts Ordering & Expediting Analyst
Financial Analyst FP&A,Graviton Financial Advisory ,Full Time,"Smart Village, Giza, Egypt",6 days ago,Financial Analyst FP&A
Organizational Performance Analyst,Confidential ,Full Time,"Giza, Egypt",4 hours ago,Organizational Performance Analyst
Risk/Governance Analyst,qTech.  ,Full Time,"Mansoura, Dakahlia, Egypt",3 days ago,Risk/Governance Analyst
Accounting Analyst,Ranin Fruit For Import and Export ,Full Time,"Mansoura, Dakahlia, Egypt",5 hours ago,Accounting Analyst
Extraction Data Engineer,Efada Technology ,Full Time,"6th of October, Giza, Egypt",6 days ago,Extraction Data Engineer
Data Analysis Instructor (Excel / Power BI),EpsilonAI ,Full Time,"Nasr City, Cairo, Egypt",7 days ago,Data Analysis Instructor (Excel / Power BI)
Data Analyst,Greenfix Property Care ,Full Time,"Dubai, United Arab Emirates",2 days ago,Data Analyst
Data Analyst,Dicetek LLC ,Freelance / Project,"Dubai, United Arab Emirates",4 days ago,Data Analyst
Senior Data Analyst | Dubai,Moove ,Full Time,"Dubai, United Arab Emirates",5 days ago,Senior Data Analyst | Dubai
HR Analyst - Onboarding | Corporate Services,Al-Futtaim ,Full Time,"Dubai, United Arab Emirates",3 days ago,HR Analyst - Onboarding | Corporate Services
Analyst - FP&A,Greenfix Property Care ,Full Time,"Dubai, United Arab Emirates",2 days ago,Analyst - FP&A
Pricing Strategy Analyst,Medtronic ,Full Time,"Dubai, United Arab Emirates",6 days ago,Pricing Strategy Analyst
Senior Finance Analyst,PwC Middle East ,Full Time,"Riyadh, Saudi Arabia",6 days ago,Senior Finance Analyst
Senior Finance Analyst,Al Tayer Insignia ,Full Time,"Dubai, United Arab Emirates",2 hours ago,Senior Finance Analyst
Analyst: Supply Chain Systems,Aspen Pharma Group ,Full Time,"Dubai, United Arab Emirates",5 days ago,Analyst: Supply Chain Systems
E commerce Product Listing Specialist,Dora Management Solutions ,Full Time,"Sheraton, Cairo, Egypt",5 days ago,E commerce Product Listing Specialist
AI Developer (Python),Ultimate Solutions Egypt ,Full Time,"Sheikh Zayed, Giza, Egypt",5 days ago,AI Developer (Python)
Application Development Manager,Wadi Group ,Full Time,"Sheikh Zayed, Giza, Egypt",6 days ago,Application Development Manager
Business Intelligence Analyst (Supply Chain Systems),Lucid Motors Middle East ,Full Time,"Makkah, Saudi Arabia",5 days ago,Business Intelligence Analyst (Supply Chain Systems)
System Analyst - BP&A | Retail,Al-Futtaim ,Full Time,"Dubai, United Arab Emirates",6 days ago,System Analyst - BP&A | Retail
Business Analyst (Senior),"ProClipse, Change Is Good - Prosci Partner ",Full Time,"Dubai, United Arab Emirates",5 days ago,Business Analyst (Senior)
Senior Product/Business Analyst,Intelligent Solutions HR ,Full Time,"Dubai, United Arab Emirates",6 days ago,Senior Product/Business Analyst
Cost Accountant,Advanced Solutions ,Full Time,"Smouha, Alexandria, Egypt",4 days ago,Cost Accountant
Senior Odoo Techno-Functional,Confidential ,Full Time,"Cairo, Egypt",6 days ago,Senior Odoo Techno-Functional
Sales & Marketing Coordinator,Gap Polymers  ,Full Time,"Maadi, Cairo, Egypt",7 days ago,Sales & Marketing Coordinator
Procurement Senior Analyst,PwC Middle East ,Full Time,"Riyadh, Saudi Arabia",5 days ago,Procurement Senior Analyst
